"ZEIT[H]" "K1186" "K1168" "K1115" "K1014" "K1000" "K1174" "K1170" "K1141" "K1106" "K1182" "K1156" "K1173" "K 586" "K 585" "K 460" "K 459"
 41422.604 136.171 135.815 135.055 134.734 134.723 135.939 135.843 135.349 134.985 136.171 135.582 135.895 143.138 137.787 137.241 135.298
 41422.625 136.166 135.810 135.049 134.732 134.720 135.934 135.838 135.342 134.979 136.166 135.576 135.890 143.138 137.787 137.241 135.294
 41422.646 136.177 135.816 135.050 134.732 134.720 135.942 135.845 135.344 134.980 136.176 135.581 135.898 143.138 137.787 137.241 135.290
 41422.667 136.195 135.830 135.057 134.732 134.720 135.956 135.858 135.355 134.986 136.194 135.592 135.911 143.138 137.787 137.241 135.291
 41422.687 136.215 135.844 135.064 134.732 134.720 135.972 135.873 135.366 134.992 136.214 135.606 135.926 143.138 137.787 137.241 135.295
 41422.708 136.235 135.859 135.071 134.733 134.720 135.988 135.887 135.378 134.998 136.233 135.618 135.941 143.138 137.787 137.241 135.299
 41422.729 136.254 135.872 135.078 134.733 134.720 136.003 135.901 135.388 135.004 136.252 135.631 135.956 143.138 137.787 137.241 135.304
 41422.750 136.267 135.882 135.085 134.739 134.727 136.014 135.911 135.397 135.010 136.265 135.640 135.966 143.138 137.787 137.241 135.308
 41422.771 136.272 135.887 135.093 134.752 134.740 136.019 135.916 135.404 135.019 136.270 135.646 135.971 143.138 137.787 137.241 135.313
 41422.792 136.275 135.891 135.104 134.765 134.753 136.022 135.920 135.411 135.030 136.273 135.651 135.974 143.138 137.787 137.241 135.318
 41422.812 136.279 135.895 135.115 134.779 134.767 136.026 135.924 135.419 135.042 136.277 135.656 135.978 143.138 137.787 137.241 135.325
 41422.833 136.283 135.900 135.127 134.792 134.780 136.030 135.928 135.426 135.055 136.281 135.662 135.982 143.138 137.787 137.241 135.332
 41422.854 136.286 135.904 135.138 134.805 134.793 136.034 135.933 135.434 135.067 136.285 135.668 135.986 143.138 137.787 137.241 135.340
 41422.875 136.290 135.909 135.149 134.817 134.805 136.039 135.937 135.442 135.078 136.289 135.674 135.990 143.138 137.787 137.241 135.347
 41422.896 136.295 135.913 135.159 134.827 134.815 136.043 135.941 135.448 135.089 136.293 135.679 135.995 143.138 137.787 137.241 135.354
 41422.917 136.299 135.917 135.168 134.837 134.825 136.047 135.945 135.455 135.098 136.297 135.684 135.999 143.138 137.787 137.241 135.361
 41422.937 136.303 135.921 135.177 134.847 134.835 136.051 135.949 135.461 135.107 136.301 135.689 136.002 143.138 137.787 137.241 135.367
 41422.958 136.307 135.925 135.185 134.857 134.845 136.054 135.953 135.466 135.116 136.304 135.693 136.006 143.138 137.787 137.241 135.373
 41422.979 136.310 135.929 135.193 134.866 134.855 136.058 135.957 135.472 135.126 136.308 135.698 136.010 143.138 137.787 137.241 135.379
 41423.000 136.318 135.935 135.202 134.876 134.864 136.064 135.963 135.479 135.136 136.315 135.704 136.016 143.138 137.787 137.241 135.385
 41423.021 136.330 135.943 135.211 134.884 134.872 136.073 135.971 135.487 135.146 136.326 135.712 136.024 143.138 137.787 137.241 135.392
 41423.042 136.342 135.953 135.220 134.893 134.881 136.083 135.981 135.496 135.156 136.338 135.721 136.034 143.138 137.787 137.241 135.399
 41423.062 136.355 135.962 135.228 134.901 134.889 136.093 135.990 135.504 135.165 136.350 135.730 136.043 143.138 137.787 137.241 135.406
 41423.083 136.366 135.970 135.235 134.909 134.898 136.102 135.998 135.511 135.173 136.361 135.738 136.052 143.138 137.787 137.241 135.412
 41423.104 136.378 135.978 135.241 134.918 134.906 136.110 136.006 135.518 135.179 136.372 135.745 136.060 143.138 137.787 137.241 135.417
 41423.125 136.386 135.984 135.247 134.927 134.915 136.117 136.013 135.524 135.186 136.379 135.751 136.066 143.138 137.787 137.241 135.422
 41423.146 136.391 135.988 135.253 134.937 134.925 136.121 136.017 135.529 135.193 136.384 135.755 136.070 143.138 137.787 137.241 135.427
 41423.167 136.395 135.992 135.259 134.947 134.935 136.124 136.020 135.533 135.200 136.388 135.759 136.074 143.138 137.787 137.241 135.432
 41423.187 136.399 135.996 135.264 134.957 134.945 136.128 136.024 135.538 135.206 136.392 135.763 136.078 143.138 137.787 137.241 135.436
 41423.208 136.404 135.999 135.270 134.967 134.955 136.132 136.028 135.542 135.213 136.396 135.767 136.081 143.138 137.787 137.241 135.441
 41423.229 136.408 136.003 135.276 134.977 134.965 136.136 136.031 135.546 135.220 136.400 135.771 136.085 143.138 137.787 137.241 135.445
 41423.250 136.402 136.001 135.280 134.988 134.976 136.133 136.029 135.548 135.225 136.396 135.771 136.083 143.138 137.787 137.241 135.450
 41423.271 136.385 135.992 135.281 135.000 134.988 136.122 136.020 135.545 135.228 136.381 135.764 136.073 143.138 137.787 137.241 135.453
 41423.292 136.366 135.981 135.281 135.010 134.999 136.109 136.008 135.539 135.229 136.363 135.756 136.061 143.138 137.787 137.241 135.453
 41423.312 136.348 135.970 135.280 135.020 135.011 136.096 135.997 135.534 135.229 136.346 135.747 136.048 143.139 137.787 137.241 135.452
 41423.333 136.329 135.959 135.280 135.030 135.023 136.084 135.985 135.529 135.230 136.328 135.739 136.036 143.138 137.787 137.241 135.451
 41423.354 136.312 135.948 135.282 135.042 135.034 136.071 135.975 135.525 135.234 136.311 135.732 136.025 143.138 137.787 137.241 135.451
 41423.375 136.305 135.945 135.287 135.046 135.038 136.067 135.971 135.526 135.240 136.305 135.730 136.021 143.138 137.787 137.241 135.453
 41423.396 136.312 135.949 135.290 135.043 135.035 136.072 135.975 135.530 135.243 136.311 135.734 136.025 143.138 137.787 137.241 135.456
 41423.417 136.319 135.954 135.290 135.040 135.032 136.077 135.980 135.532 135.243 136.318 135.738 136.031 143.138 137.787 137.241 135.458
 41423.437 136.325 135.957 135.288 135.037 135.028 136.081 135.984 135.533 135.240 136.324 135.740 136.034 143.138 137.787 137.241 135.458
 41423.458 136.331 135.960 135.286 135.034 135.025 136.085 135.987 135.533 135.237 136.329 135.741 136.037 143.138 137.787 137.241 135.456
 41423.479 136.336 135.963 135.285 135.030 135.022 136.088 135.990 135.533 135.235 136.334 135.743 136.041 143.138 137.787 137.241 135.455
 41423.500 136.342 135.967 135.284 135.027 135.018 136.092 135.994 135.535 135.234 136.340 135.746 136.045 143.138 137.787 137.241 135.454
 41423.521 136.350 135.971 135.284 135.024 135.015 136.098 135.998 135.537 135.234 136.347 135.749 136.050 143.138 137.787 137.241 135.454
 41423.542 136.358 135.976 135.284 135.021 135.012 136.103 136.003 135.539 135.233 136.354 135.753 136.055 143.138 137.787 137.241 135.454
 41423.562 136.366 135.981 135.285 135.017 135.008 136.108 136.008 135.541 135.233 136.362 135.756 136.060 143.138 137.787 137.241 135.454
 41423.583 136.374 135.985 135.285 135.014 135.005 136.114 136.013 135.544 135.233 136.369 135.760 136.065 143.138 137.787 137.241 135.455
 41423.604 136.382 135.990 135.286 135.012 135.002 136.120 136.018 135.546 135.234 136.377 135.764 136.070 143.138 137.787 137.241 135.456
 41423.625 136.392 135.997 135.289 135.015 135.005 136.127 136.024 135.550 135.236 136.386 135.769 136.077 143.138 137.787 137.241 135.457
 41423.646 136.407 136.006 135.294 135.024 135.015 136.137 136.034 135.557 135.242 136.399 135.777 136.087 143.138 137.787 137.241 135.460
 41423.667 136.422 136.016 135.303 135.034 135.025 136.149 136.044 135.566 135.252 136.413 135.786 136.098 143.138 137.787 137.241 135.465
 41423.687 136.438 136.029 135.317 135.044 135.035 136.163 136.057 135.578 135.267 136.428 135.798 136.112 143.138 137.787 137.241 135.474
 41423.708 136.457 136.046 135.337 135.054 135.045 136.180 136.075 135.596 135.287 136.446 135.815 136.129 143.138 137.787 137.241 135.488
 41423.729 136.479 136.067 135.356 135.064 135.055 136.202 136.096 135.616 135.305 136.467 135.836 136.151 143.138 137.787 137.241 135.504
 41423.750 136.494 136.085 135.370 135.063 135.053 136.219 136.113 135.633 135.317 136.481 135.853 136.168 143.138 137.787 137.241 135.518
 41423.771 136.495 136.089 135.368 135.051 135.040 136.223 136.118 135.636 135.314 136.483 135.858 136.172 143.138 137.787 137.241 135.525
 41423.792 136.486 136.081 135.353 135.037 135.027 136.215 136.109 135.624 135.298 136.475 135.848 136.164 143.138 137.787 137.241 135.520
 41423.812 136.472 136.064 135.331 135.024 135.013 136.199 136.093 135.603 135.276 136.461 135.829 136.148 143.138 137.787 137.241 135.506
 41423.833 136.454 136.044 135.308 135.012 135.000 136.179 136.073 135.581 135.253 136.444 135.808 136.128 143.138 137.787 137.241 135.488
 41423.854 136.439 136.027 135.293 135.000 134.987 136.162 136.056 135.566 135.238 136.429 135.792 136.111 143.138 137.787 137.241 135.472
 41423.875 136.438 136.025 135.291 134.999 134.986 136.160 136.053 135.563 135.236 136.428 135.789 136.108 143.138 137.787 137.241 135.462
 41423.896 136.454 136.034 135.298 135.010 134.997 136.171 136.063 135.571 135.243 136.441 135.798 136.119 143.138 137.787 137.241 135.463
 41423.917 136.473 136.048 135.306 135.020 135.009 136.186 136.078 135.581 135.253 136.458 135.810 136.134 143.138 137.787 137.241 135.470
 41423.937 136.492 136.063 135.316 135.030 135.021 136.202 136.093 135.592 135.263 136.476 135.822 136.150 143.138 137.787 137.241 135.477
 41423.958 136.514 136.082 135.335 135.042 135.033 136.222 136.112 135.609 135.282 136.496 135.840 136.169 143.138 137.787 137.241 135.488
 41423.979 136.540 136.107 135.359 135.054 135.044 136.247 136.137 135.634 135.305 136.520 135.865 136.194 143.138 137.787 137.241 135.505
 41424.000 136.569 136.135 135.381 135.057 135.047 136.276 136.165 135.660 135.325 136.547 135.892 136.222 143.138 137.787 137.241 135.525
 41424.021 136.596 136.160 135.392 135.051 135.040 136.302 136.190 135.679 135.334 136.573 135.915 136.248 143.138 137.787 137.241 135.539
 41424.042 136.619 136.178 135.394 135.045 135.033 136.321 136.208 135.689 135.334 136.593 135.929 136.267 143.138 137.787 137.241 135.545
 41424.062 136.637 136.190 135.393 135.038 135.027 136.335 136.221 135.693 135.331 136.609 135.938 136.281 143.138 137.787 137.241 135.546
 41424.083 136.654 136.201 135.390 135.032 135.020 136.348 136.232 135.696 135.328 136.624 135.945 136.292 143.138 137.787 137.241 135.545
 41424.104 136.670 136.210 135.388 135.025 135.013 136.359 136.243 135.699 135.324 136.638 135.952 136.303 143.138 137.787 137.241 135.543
 41424.125 136.684 136.219 135.386 135.024 135.012 136.369 136.252 135.702 135.322 136.650 135.957 136.313 143.138 137.787 137.241 135.542
 41424.146 136.696 136.227 135.389 135.027 135.015 136.379 136.260 135.706 135.324 136.661 135.964 136.322 143.138 137.787 137.241 135.542
 41424.167 136.710 136.238 135.396 135.030 135.018 136.390 136.271 135.714 135.331 136.672 135.973 136.333 143.138 137.787 137.241 135.546
 41424.187 136.725 136.251 135.406 135.034 135.022 136.404 136.284 135.726 135.340 136.686 135.986 136.346 143.138 137.787 137.241 135.553
 41424.208 136.742 136.266 135.416 135.037 135.025 136.419 136.299 135.738 135.349 136.701 135.999 136.361 143.138 137.787 137.241 135.561
 41424.229 136.758 136.281 135.425 135.041 135.028 136.434 136.314 135.751 135.357 136.717 136.013 136.377 143.138 137.787 137.241 135.569
 41424.250 136.765 136.290 135.432 135.039 135.027 136.443 136.323 135.759 135.362 136.724 136.022 136.386 143.138 137.787 137.241 135.576
 41424.271 136.759 136.288 135.429 135.033 135.020 136.441 136.321 135.758 135.359 136.719 136.021 136.383 143.138 137.787 137.241 135.579
 41424.292 136.746 136.278 135.419 135.026 135.013 136.430 136.311 135.748 135.349 136.708 136.011 136.373 143.138 137.787 137.241 135.574
 41424.312 136.731 136.263 135.405 135.019 135.007 136.415 136.296 135.734 135.336 136.694 135.996 136.358 143.138 137.787 137.241 135.565
 41424.333 136.714 136.246 135.391 135.014 135.000 136.398 136.279 135.717 135.323 136.678 135.980 136.341 143.138 137.787 137.241 135.553
 41424.354 136.696 136.228 135.376 135.009 134.993 136.380 136.261 135.700 135.310 136.661 135.962 136.323 143.138 137.787 137.241 135.542
 41424.375 136.683 136.214 135.365 135.010 134.994 136.366 136.247 135.687 135.300 136.649 135.948 136.309 143.138 137.787 137.241 135.531
 41424.396 136.680 136.208 135.363 135.016 135.003 136.360 136.241 135.682 135.300 136.645 135.942 136.303 143.138 137.787 137.241 135.525
 41424.417 136.681 136.210 135.369 135.022 135.011 136.361 136.242 135.686 135.307 136.646 135.944 136.304 143.138 137.787 137.241 135.526
 41424.437 136.686 136.216 135.381 135.030 135.019 136.367 136.249 135.695 135.318 136.651 135.952 136.310 143.138 137.787 137.241 135.532
 41424.458 136.693 136.226 135.396 135.039 135.028 136.377 136.258 135.708 135.332 136.658 135.964 136.320 143.138 137.787 137.241 135.543
 41424.479 136.702 136.237 135.410 135.047 135.036 136.388 136.270 135.722 135.346 136.667 135.976 136.331 143.138 137.787 137.241 135.554
 41424.500 136.706 136.245 135.420 135.051 135.039 136.395 136.277 135.732 135.355 136.671 135.985 136.338 143.138 137.787 137.241 135.564
 41424.521 136.701 136.245 135.422 135.049 135.038 136.394 136.277 135.735 135.357 136.668 135.987 136.338 143.138 137.787 137.241 135.570
 41424.542 136.692 136.239 135.418 135.047 135.036 136.387 136.271 135.730 135.353 136.660 135.982 136.332 143.138 137.787 137.241 135.569
 41424.562 136.680 136.229 135.412 135.046 135.034 136.377 136.261 135.722 135.347 136.650 135.973 136.321 143.138 137.787 137.241 135.565
 41424.583 136.666 136.218 135.406 135.044 135.033 136.365 136.250 135.713 135.341 136.638 135.963 136.310 143.139 137.787 137.241 135.559
 41424.604 136.653 136.207 135.399 135.042 135.031 136.353 136.238 135.705 135.336 136.625 135.953 136.298 143.138 137.787 137.241 135.554
 41424.625 136.635 136.193 135.391 135.037 135.026 136.338 136.224 135.694 135.329 136.609 135.940 136.283 143.138 137.787 137.241 135.549
 41424.646 136.610 136.173 135.378 135.029 135.018 136.317 136.204 135.678 135.316 136.587 135.922 136.263 143.138 137.787 137.241 135.541
 41424.667 136.582 136.148 135.358 135.020 135.009 136.291 136.179 135.656 135.298 136.561 135.899 136.237 143.138 137.787 137.241 135.529
 41424.687 136.550 136.119 135.335 135.013 135.001 136.261 136.150 135.629 135.276 136.532 135.871 136.208 143.138 137.787 137.241 135.512
 41424.708 136.518 136.089 135.315 135.006 134.992 136.230 136.119 135.603 135.257 136.501 135.842 136.177 143.138 137.787 137.241 135.495
 41424.729 136.487 136.063 135.302 134.998 134.984 136.202 136.093 135.585 135.246 136.473 135.819 136.149 143.138 137.787 137.241 135.480
 41424.750 136.473 136.049 135.298 134.998 134.984 136.188 136.079 135.577 135.242 136.460 135.808 136.135 143.138 137.787 137.241 135.471
 41424.771 136.477 136.050 135.301 135.006 134.992 136.189 136.080 135.579 135.246 136.462 135.810 136.136 143.138 137.787 137.241 135.469
 41424.792 136.484 136.057 135.306 135.013 135.001 136.196 136.087 135.584 135.252 136.469 135.816 136.143 143.138 137.787 137.241 135.472
 41424.812 136.492 136.063 135.310 135.020 135.009 136.203 136.093 135.589 135.255 136.477 135.821 136.150 143.138 137.787 137.241 135.476
 41424.833 136.500 136.070 135.316 135.027 135.018 136.210 136.100 135.594 135.261 136.484 135.827 136.157 143.138 137.787 137.241 135.480
 41424.854 136.510 136.079 135.328 135.035 135.026 136.219 136.109 135.604 135.274 136.492 135.836 136.166 143.138 137.787 137.241 135.486
 41424.875 136.518 136.090 135.342 135.038 135.028 136.229 136.120 135.618 135.289 136.501 135.849 136.176 143.138 137.787 137.241 135.497
 41424.896 136.522 136.098 135.349 135.036 135.025 136.236 136.127 135.626 135.295 136.506 135.857 136.184 143.138 137.787 137.241 135.507
 41424.917 136.522 136.099 135.347 135.032 135.022 136.237 136.128 135.626 135.292 136.506 135.858 136.185 143.138 137.787 137.241 135.510
 41424.937 136.518 136.095 135.341 135.029 135.018 136.234 136.124 135.621 135.286 136.502 135.853 136.181 143.138 137.787 137.241 135.507
 41424.958 136.512 136.088 135.334 135.025 135.015 136.227 136.118 135.614 135.278 136.497 135.847 136.175 143.138 137.787 137.241 135.502
 41424.979 136.506 136.081 135.325 135.022 135.012 136.220 136.111 135.605 135.270 136.490 135.839 136.167 143.138 137.787 137.241 135.495
 41425.000 136.506 136.077 135.319 135.023 135.012 136.217 136.107 135.599 135.263 136.490 135.834 136.164 143.138 137.787 137.241 135.489
 41425.021 136.517 136.082 135.321 135.027 135.018 136.223 136.112 135.602 135.266 136.499 135.837 136.170 143.138 137.787 137.241 135.486
 41425.042 136.533 136.095 135.333 135.033 135.022 136.237 136.126 135.614 135.279 136.513 135.850 136.184 143.138 137.787 137.241 135.490
 41425.062 136.554 136.115 135.350 135.038 135.027 136.257 136.145 135.632 135.295 136.533 135.869 136.203 143.138 137.787 137.241 135.502
 41425.083 136.577 136.136 135.366 135.043 135.033 136.279 136.167 135.652 135.310 136.554 135.889 136.225 143.138 137.787 137.241 135.516
 41425.104 136.600 136.157 135.380 135.048 135.038 136.300 136.188 135.669 135.322 136.575 135.909 136.246 143.138 137.787 137.241 135.528
 41425.125 136.615 136.173 135.391 135.051 135.040 136.317 136.204 135.684 135.332 136.590 135.924 136.262 143.138 137.787 137.241 135.539
 41425.146 136.621 136.181 135.397 135.051 135.040 136.325 136.212 135.691 135.336 136.596 135.932 136.271 143.138 137.787 137.241 135.546
 41425.167 136.624 136.184 135.398 135.051 135.040 136.328 136.215 135.693 135.337 136.599 135.935 136.274 143.138 137.787 137.241 135.549
 41425.187 136.624 136.185 135.397 135.051 135.040 136.329 136.216 135.693 135.336 136.599 135.935 136.274 143.138 137.787 137.241 135.549
 41425.208 136.624 136.185 135.397 135.051 135.040 136.328 136.215 135.693 135.336 136.599 135.935 136.274 143.138 137.787 137.241 135.548
 41425.229 136.624 136.184 135.397 135.051 135.040 136.328 136.215 135.693 135.336 136.599 135.935 136.274 143.138 137.787 137.241 135.548
 41425.250 136.621 136.183 135.395 135.048 135.037 136.326 136.213 135.691 135.334 136.597 135.933 136.272 143.138 137.787 137.241 135.548
 41425.271 136.615 136.177 135.390 135.041 135.030 136.321 136.208 135.686 135.329 136.591 135.928 136.267 143.138 137.787 137.241 135.546
 41425.292 136.605 136.168 135.380 135.035 135.023 136.312 136.199 135.677 135.319 136.582 135.919 136.258 143.138 137.787 137.241 135.540
 41425.312 136.594 136.157 135.368 135.028 135.017 136.300 136.188 135.665 135.308 136.572 135.907 136.246 143.138 137.787 137.241 135.532
 41425.333 136.582 136.144 135.355 135.021 135.010 136.287 136.175 135.651 135.296 136.560 135.894 136.233 143.138 137.787 137.241 135.522
 41425.354 136.569 136.130 135.340 135.016 135.003 136.274 136.161 135.636 135.281 136.548 135.880 136.220 143.138 137.787 137.241 135.512
 41425.375 136.560 136.118 135.329 135.015 135.003 136.262 136.149 135.623 135.270 136.538 135.867 136.208 143.138 137.787 137.241 135.501
 41425.396 136.558 136.113 135.326 135.020 135.010 136.258 136.144 135.618 135.269 136.536 135.862 136.203 143.138 137.787 137.241 135.494
 41425.417 136.561 136.116 135.333 135.027 135.017 136.260 136.147 135.623 135.276 136.538 135.865 136.205 143.138 137.787 137.241 135.494
 41425.437 136.568 136.124 135.346 135.034 135.023 136.268 136.155 135.634 135.290 136.545 135.874 136.214 143.138 137.787 137.241 135.501
 41425.458 136.579 136.137 135.361 135.040 135.030 136.280 136.167 135.649 135.304 136.556 135.888 136.226 143.138 137.787 137.241 135.513
 41425.479 136.590 136.150 135.375 135.047 135.037 136.293 136.180 135.663 135.317 136.566 135.902 136.239 143.138 137.787 137.241 135.524
 41425.500 136.599 136.161 135.385 135.050 135.039 136.303 136.191 135.674 135.327 136.576 135.913 136.250 143.138 137.787 137.241 135.534
 41425.521 136.605 136.168 135.390 135.049 135.038 136.310 136.198 135.681 135.330 136.581 135.920 136.256 143.138 137.787 137.241 135.541
 41425.542 136.607 136.170 135.389 135.047 135.036 136.313 136.201 135.682 135.329 136.584 135.922 136.259 143.138 137.787 137.241 135.542
 41425.562 136.607 136.170 135.387 135.045 135.034 136.313 136.201 135.681 135.327 136.584 135.922 136.259 143.138 137.787 137.241 135.542
 41425.583 136.607 136.169 135.385 135.043 135.033 136.312 136.200 135.679 135.325 136.583 135.920 136.258 143.138 137.787 137.241 135.540
 41425.604 136.606 136.168 135.383 135.042 135.031 136.311 136.198 135.677 135.323 136.583 135.919 136.257 143.138 137.787 137.241 135.538
 41425.625 136.613 136.170 135.382 135.040 135.029 136.315 136.201 135.678 135.322 136.588 135.920 136.260 143.138 137.787 137.241 135.537
 41425.646 136.629 136.180 135.384 135.039 135.027 136.326 136.211 135.683 135.323 136.601 135.928 136.271 143.138 137.787 137.241 135.537
 41425.667 136.647 136.194 135.389 135.037 135.026 136.341 136.225 135.691 135.327 136.618 135.939 136.285 143.138 137.787 137.241 135.540
 41425.687 136.667 136.209 135.394 135.036 135.024 136.357 136.240 135.701 135.331 136.635 135.951 136.301 143.138 137.787 137.241 135.544
 41425.708 136.687 136.224 135.399 135.034 135.022 136.373 136.256 135.711 135.335 136.653 135.964 136.317 143.138 137.787 137.241 135.549
 41425.729 136.707 136.239 135.404 135.033 135.021 136.390 136.272 135.720 135.339 136.671 135.977 136.333 143.138 137.787 137.241 135.553
 41425.750 136.719 136.250 135.408 135.033 135.021 136.402 136.283 135.728 135.342 136.682 135.986 136.345 143.138 137.787 137.241 135.557
 41425.771 136.722 136.254 135.411 135.034 135.022 136.406 136.287 135.731 135.344 136.686 135.990 136.349 143.138 137.787 137.241 135.561
 41425.792 136.723 136.256 135.412 135.036 135.024 136.407 136.288 135.733 135.346 136.686 135.992 136.350 143.138 137.787 137.241 135.562
 41425.812 136.724 136.257 135.414 135.038 135.026 136.408 136.289 135.734 135.347 136.687 135.993 136.351 143.138 137.787 137.241 135.563
 41425.833 136.724 136.257 135.416 135.039 135.027 136.409 136.290 135.736 135.349 136.687 135.994 136.352 143.138 137.787 137.241 135.565
 41425.854 136.725 136.258 135.417 135.041 135.029 136.410 136.291 135.737 135.351 136.688 135.995 136.353 143.138 137.787 137.241 135.566
 41425.875 136.731 136.263 135.420 135.041 135.029 136.414 136.295 135.740 135.353 136.693 135.999 136.357 143.138 137.787 137.241 135.568
 41425.896 136.744 136.272 135.423 135.040 135.027 136.424 136.305 135.746 135.356 136.705 136.007 136.367 143.138 137.787 137.241 135.570
 41425.917 136.759 136.283 135.427 135.038 135.026 136.437 136.316 135.754 135.358 136.718 136.016 136.379 143.138 137.787 137.241 135.573
 41425.937 136.774 136.295 135.431 135.037 135.024 136.449 136.328 135.761 135.361 136.731 136.026 136.391 143.138 137.787 137.241 135.576
 41425.958 136.789 136.306 135.434 135.035 135.022 136.462 136.340 135.768 135.364 136.744 136.035 136.403 143.138 137.787 137.241 135.579
 41425.979 136.804 136.317 135.438 135.034 135.021 136.474 136.351 135.775 135.366 136.758 136.044 136.415 143.138 137.787 137.241 135.583
 41426.000 136.842 136.341 135.442 135.022 135.008 136.501 136.376 135.788 135.368 136.789 136.063 136.441 143.138 137.787 137.241 135.586
 41426.021 136.908 136.384 135.448 135.002 134.982 136.549 136.419 135.811 135.370 136.844 136.096 136.487 143.138 137.787 137.241 135.591
 41426.042 136.980 136.433 135.454 134.980 134.958 136.604 136.470 135.837 135.371 136.906 136.135 136.540 143.138 137.787 137.241 135.597
 41426.062 137.052 136.483 135.458 134.955 134.932 136.660 136.522 135.862 135.370 136.968 136.174 136.594 143.138 137.787 137.241 135.603
 41426.083 137.124 136.533 135.462 134.931 134.908 136.715 136.573 135.888 135.370 137.030 136.213 136.648 143.138 137.787 137.241 135.609
 41426.104 137.196 136.584 135.470 134.907 134.882 136.772 136.625 135.916 135.372 137.091 136.254 136.702 143.138 137.787 137.241 135.615
 41426.125 137.270 136.637 135.475 134.867 134.838 136.831 136.680 135.945 135.371 137.155 136.296 136.759 143.138 137.787 137.241 135.624
 41426.146 137.345 136.690 135.469 134.807 134.775 136.890 136.734 135.969 135.358 137.218 136.337 136.816 143.138 137.787 137.241 135.627
 41426.167 137.417 136.738 135.455 134.747 134.712 136.945 136.784 135.985 135.338 137.279 136.371 136.869 143.138 137.787 137.241 135.621
 41426.187 137.485 136.783 135.438 134.687 134.648 136.997 136.831 135.998 135.316 137.337 136.402 136.918 143.138 137.787 137.241 135.612
 41426.208 137.553 136.827 135.419 134.627 134.585 137.047 136.876 136.010 135.292 137.394 136.432 136.966 143.138 137.787 137.241 135.601
 41426.229 137.620 136.870 135.406 134.567 134.522 137.097 136.921 136.024 135.275 137.452 136.464 137.013 143.138 137.787 137.241 135.591
 41426.250 137.677 136.911 135.404 134.520 134.473 137.143 136.963 136.044 135.268 137.503 136.496 137.057 143.138 137.787 137.241 135.587
 41426.271 137.723 136.947 135.404 134.488 134.440 137.182 136.999 136.063 135.264 137.544 136.525 137.094 143.138 137.787 137.241 135.589
 41426.292 137.767 136.980 135.406 134.457 134.407 137.218 137.032 136.083 135.263 137.583 136.553 137.129 143.138 137.787 137.241 135.592
 41426.312 137.811 137.013 135.409 134.427 134.373 137.254 137.066 136.103 135.262 137.623 136.581 137.164 143.138 137.787 137.241 135.596
 41426.333 137.855 137.046 135.413 134.396 134.340 137.291 137.100 136.124 135.261 137.662 136.610 137.199 143.138 137.787 137.241 135.601
 41426.354 137.897 137.080 135.418 134.365 134.307 137.328 137.135 136.146 135.261 137.701 136.639 137.235 143.138 137.787 137.241 135.606
 41426.375 137.941 137.115 135.423 134.330 134.268 137.365 137.170 136.170 135.262 137.741 136.669 137.271 143.138 137.787 137.241 135.611
 41426.396 137.985 137.150 135.428 134.291 134.225 137.404 137.206 136.194 135.262 137.781 136.700 137.308 143.138 137.787 137.241 135.617
 41426.417 138.028 137.186 135.433 134.251 134.182 137.443 137.243 136.218 135.262 137.822 136.731 137.346 143.138 137.787 137.241 135.623
 41426.437 138.072 137.222 135.438 134.212 134.138 137.482 137.279 136.242 135.262 137.862 136.762 137.383 143.138 137.787 137.241 135.629
 41426.458 138.115 137.258 135.444 134.172 134.095 137.521 137.316 136.267 135.263 137.902 136.794 137.421 143.138 137.787 137.241 135.636
 41426.479 138.159 137.294 135.451 134.133 134.052 137.560 137.353 136.292 135.264 137.943 136.826 137.458 143.138 137.787 137.241 135.643
 41426.500 138.193 137.324 135.456 134.081 133.993 137.592 137.383 136.314 135.263 137.976 136.853 137.489 143.138 137.787 137.241 135.650
 41426.521 138.214 137.344 135.452 134.015 133.920 137.613 137.403 136.326 135.255 137.997 136.870 137.510 143.138 137.787 137.241 135.653
 41426.542 138.231 137.357 135.443 133.947 133.847 137.628 137.417 136.331 135.241 138.012 136.880 137.524 143.138 137.787 137.241 135.649
 41426.562 138.247 137.368 135.430 133.880 133.773 137.640 137.427 136.331 135.225 138.026 136.887 137.535 143.138 137.787 137.241 135.640
 41426.583 138.261 137.376 135.418 133.812 133.700 137.651 137.437 136.331 135.209 138.038 136.892 137.545 143.138 137.787 137.241 135.631
 41426.604 138.275 137.385 135.406 133.741 133.627 137.661 137.446 136.331 135.191 138.050 136.897 137.555 143.138 137.787 137.241 135.621
 41426.625 138.300 137.401 135.396 133.683 133.576 137.680 137.462 136.335 135.175 138.072 136.909 137.573 143.138 137.787 137.241 135.613
 41426.646 138.339 137.430 135.397 133.650 133.547 137.712 137.492 136.351 135.169 138.107 136.932 137.604 143.138 137.787 137.241 135.608
 41426.667 138.382 137.467 135.407 133.625 133.519 137.751 137.529 136.378 135.178 138.146 136.965 137.641 143.138 137.787 137.241 135.614
 41426.687 138.426 137.508 135.424 133.601 133.491 137.793 137.570 136.412 135.192 138.185 137.003 137.682 143.138 137.787 137.241 135.628
 41426.708 138.468 137.549 135.444 133.577 133.462 137.834 137.610 136.450 135.209 138.224 137.045 137.721 143.138 137.787 137.241 135.647
