 "ZEIT[h]" "ZRET  1" "ZRETO  1"
   89.000   140.600   140.600
   89.167   140.600   140.600
   89.333   140.600   140.600
   89.500   140.600   140.600
   89.667   140.600   140.600
   89.833   140.600   140.600
   90.000   140.600   140.600
   90.167   140.600   140.600
   90.333   140.600   140.600
   90.500   140.600   140.600
   90.667   140.600   140.600
   90.833   140.600   140.600
   91.000   140.600   140.600
   91.167   140.600   140.600
   91.333   140.600   140.600
   91.500   140.600   140.600
   91.667   140.600   140.600
   91.833   140.600   140.600
   92.000   140.600   140.600
   92.167   140.600   140.600
   92.333   140.600   140.600
   92.500   140.600   140.600
   92.667   140.600   140.600
   92.833   140.600   140.600
   93.000   140.600   140.600
   93.167   140.600   140.600
   93.333   140.600   140.600
   93.500   140.600   140.600
   93.667   140.600   140.600
   93.833   140.600   140.600
   94.000   140.600   140.600
   94.167   140.600   140.600
   94.333   140.600   140.600
   94.500   140.600   140.600
   94.667   140.600   140.600
   94.833   140.600   140.600
   95.000   140.600   140.600
   95.167   140.600   140.600
   95.333   140.600   140.600
   95.500   140.600   140.600
   95.667   140.600   140.600
   95.833   140.600   140.600
   96.000   140.600   140.600
   96.167   140.600   140.600
   96.333   140.600   140.600
   96.500   140.600   140.600
   96.667   140.600   140.600
   96.833   140.600   140.600
   97.000   140.600   140.600
   97.167   140.600   140.600
   97.333   140.600   140.600
   97.500   140.600   140.600
   97.667   140.600   140.600
   97.833   140.600   140.600
   98.000   140.600   140.600
   98.167   140.600   140.600
   98.333   140.600   140.600
   98.500   140.600   140.600
   98.667   140.600   140.600
   98.833   140.600   140.600
   99.000   140.600   140.600
   99.167   140.600   140.600
   99.333   140.600   140.600
   99.500   140.600   140.600
   99.667   140.600   140.600
   99.833   140.600   140.600
  100.000   140.600   140.600
  100.167   140.600   140.600
  100.333   140.600   140.600
  100.500   140.600   140.600
  100.667   140.600   140.600
  100.833   140.600   140.600
  101.000   140.600   140.600
  101.167   140.600   140.600
  101.333   140.600   140.600
  101.500   140.600   140.600
  101.667   140.600   140.600
  101.833   140.600   140.600
  102.000   140.600   140.600
  102.167   140.600   140.600
  102.333   140.600   140.600
  102.500   140.600   140.600
  102.667   140.600   140.600
  102.833   140.600   140.600
  103.000   140.600   140.600
  103.167   140.600   140.600
  103.333   140.600   140.600
  103.500   140.600   140.600
  103.667   140.600   140.600
  103.833   140.600   140.600
  104.000   140.600   140.600
  104.167   140.600   140.600
  104.333   140.600   140.600
  104.500   140.600   140.600
  104.667   140.600   140.600
  104.833   140.600   140.600
  105.000   140.600   140.600
  105.167   140.600   140.600
  105.333   140.600   140.600
  105.500   140.600   140.600
  105.667   140.600   140.600
  105.833   140.600   140.600
  106.000   140.600   140.600
  106.167   140.600   140.600
  106.333   140.600   140.600
  106.500   140.600   140.600
  106.667   140.600   140.600
  106.833   140.600   140.600
  107.000   140.600   140.600
  107.167   140.600   140.600
  107.333   140.600   140.600
  107.500   140.600   140.600
  107.667   140.600   140.600
  107.833   140.600   140.600
  108.000   140.600   140.600
  108.167   140.600   140.600
  108.333   140.600   140.600
  108.500   140.600   140.600
  108.667   140.600   140.600
  108.833   140.600   140.600
  109.000   140.600   140.600
  109.167   140.600   140.600
  109.333   140.600   140.600
  109.500   140.600   140.600
  109.667   140.600   140.600
  109.833   140.600   140.600
  110.000   140.600   140.600
  110.167   140.600   140.600
  110.333   140.600   140.600
  110.500   140.600   140.600
  110.667   140.600   140.600
  110.833   140.600   140.600
  111.000   140.600   140.600
  111.167   140.600   140.600
  111.333   140.600   140.600
  111.500   140.600   140.600
  111.667   140.600   140.600
  111.833   140.600   140.600
  112.000   140.600   140.600
  112.167   140.600   140.600
  112.333   140.600   140.600
  112.500   140.600   140.600
  112.667   140.600   140.600
  112.833   140.600   140.600
  113.000   140.600   140.600
  113.167   140.600   140.600
  113.333   140.600   140.600
  113.500   140.600   140.600
  113.667   140.600   140.600
  113.833   140.600   140.600
  114.000   140.600   140.600
  114.167   140.600   140.600
  114.333   140.600   140.600
  114.500   140.600   140.600
  114.667   140.600   140.600
  114.833   140.600   140.600
  115.000   140.600   140.600
  115.167   140.600   140.600
  115.333   140.600   140.600
  115.500   140.600   140.600
  115.667   140.600   140.600
  115.833   140.600   140.600
  116.000   140.600   140.600
  116.167   140.600   140.600
  116.333   140.600   140.600
  116.500   140.600   140.600
  116.667   140.600   140.600
  116.833   140.600   140.600
  117.000   140.600   140.600
  117.167   140.600   140.600
  117.333   140.600   140.600
  117.500   140.600   140.600
  117.667   140.600   140.600
  117.833   140.600   140.600
  118.000   140.600   140.600
  118.167   140.600   140.600
  118.333   140.600   140.600
  118.500   140.600   140.600
  118.667   140.600   140.600
  118.833   140.600   140.600
  119.000   140.600   140.600
  119.167   140.600   140.600
  119.333   140.600   140.600
  119.500   140.600   140.600
  119.667   140.600   140.600
  119.833   140.600   140.600
  120.000   140.600   140.600
  120.167   140.600   140.600
  120.333   140.600   140.600
  120.500   140.600   140.600
  120.667   140.600   140.600
  120.833   140.600   140.600
  121.000   140.600   140.600
  121.167   140.600   140.600
  121.333   140.600   140.600
  121.500   140.600   140.600
  121.667   140.600   140.600
  121.833   140.600   140.600
  122.000   140.600   140.600
  122.167   140.600   140.600
  122.333   140.600   140.600
  122.500   140.600   140.600
  122.667   140.600   140.600
  122.833   140.600   140.600
  123.000   140.600   140.600
  123.167   140.600   140.600
  123.333   140.600   140.600
  123.500   140.600   140.600
  123.667   140.600   140.600
  123.833   140.600   140.600
  124.000   140.600   140.600
  124.167   140.600   140.600
  124.333   140.600   140.600
  124.500   140.600   140.600
  124.667   140.600   140.600
  124.833   140.600   140.600
  125.000   140.600   140.600
  125.167   140.600   140.600
  125.333   140.600   140.600
  125.500   140.600   140.600
  125.667   140.600   140.600
  125.833   140.600   140.600
  126.000   140.600   140.600
  126.167   140.600   140.600
  126.333   140.600   140.600
  126.500   140.600   140.600
  126.667   140.600   140.600
  126.833   140.600   140.600
  127.000   140.600   140.600
  127.167   140.600   140.600
