"IAB","ITYPE","WIDTH","HEIT","ZTR","ZTL","XL","ZO","RNI","DZERO","HZERO","QZERO","ZS","CKS","HR0","HR1","RNV1","HR2","RNV2","HR3","RNV3","HR4","RNV4","HR5","RNV5","HR6","RNV6","HR7","RNV7","SF","X","Y","ID","ZSHIFT"                                                                                     
463,5,0.00,5.00,0.00,0.00,28971.0,111.48,0.0400,3.173,114.649,26.649,2.13,0.000,0.000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.00102426,3473097.18,5446825.69,10488,0.00
910,5,0.00,5.00,0.00,0.00,28968.0,111.51,0.0400,3.133,114.647,26.649,2.24,0.000,0.000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.00096339,3473094.23,5446826.04,10488,0.00
909,5,0.00,5.00,0.00,0.00,28964.0,111.57,0.0400,3.079,114.645,26.649,2.49,0.000,0.000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.00087811,3473090.58,5446827.66,10488,0.00
908,5,0.00,5.00,0.00,0.00,28961.0,111.60,0.0400,3.039,114.644,26.649,2.32,0.000,0.000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.00081461,3473087.84,5446828.88,10488,0.00
907,5,0.00,5.00,0.00,0.00,28956.0,111.67,0.0400,2.973,114.642,26.649,2.30,0.000,0.000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.00073471,3473083.27,5446830.91,10488,0.00
3423,4,0.00,5.00,0.00,0.00,28952.0,111.72,0.0400,2.921,114.641,26.649,2.63,0.000,0.000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.00068802,3473079.73,5446832.76,10488,0.00
578,4,0.00,5.00,0.00,0.00,28950.0,111.78,0.0400,2.856,114.636,26.649,3.21,0.000,0.000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.00078836,3473078.00,5446833.77,10488,0.00
577,9,0.00,5.00,0.00,0.00,28949.0,111.78,0.0100,2.748,114.528,26.649,3.28,0.000,0.000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.00042362,3473077.14,5446834.28,10488,0.00
576,9,0.00,5.00,0.00,0.00,28936.0,111.78,0.0400,2.701,114.481,26.649,3.28,0.000,0.000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.00673760,3473065.95,5446840.89,10488,0.00
423,4,0.00,5.00,0.00,0.00,28934.0,111.72,0.0400,2.862,114.582,26.649,2.63,0.000,0.000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.00074775,3473064.22,5446841.91,10488,0.00
