"ZEIT[H]","Q_gesamt","Q_Kraft","Q_Wehr"
41420.208,1611.05,1500,111.05
41420.229,1615.14,1500,115.14
41420.25,1617.33,1500,117.33
41420.271,1615.06,1500,115.06
41420.292,1607.11,1500,107.11
41420.312,1598.16,1500,98.16
41420.333,1590.94,1500,90.94
41420.354,1584.86,1500,84.86
41420.375,1595.9,1500,95.9
41420.396,1617.19,1500,117.19
41420.417,1629.5,1500,129.5
41420.437,1636.05,1500,136.05
41420.458,1629.14,1500,129.14
41420.479,1619.49,1500,119.49
41420.5,1608,1500,108
41420.521,1586.66,1500,86.66
41420.542,1561.23,1500,61.23
41420.562,1529.56,1500,29.56
41420.583,1497.37,1482.37,15
41420.604,1468.37,1453.37,15
41420.625,1445.33,1430.33,15
41420.646,1432.95,1417.95,15
41420.667,1430.42,1415.42,15
41420.687,1431.53,1416.53,15
41420.708,1431.39,1416.39,15
41420.729,1430.36,1415.36,15
41420.75,1431.49,1416.49,15
41420.771,1435.76,1420.76,15
41420.792,1441.78,1426.78,15
41420.812,1448.65,1433.65,15
41420.833,1455.24,1440.24,15
41420.854,1461.62,1446.62,15
41420.875,1489.35,1474.35,15
41420.896,1509.88,1494.88,15
41420.917,1503.43,1488.43,15
41420.937,1498.34,1483.34,15
41420.958,1493.2,1478.2,15
41420.979,1486.94,1471.94,15
41421,1480.2,1465.2,15
41421.021,1481.36,1466.36,15
41421.042,1492.5,1477.5,15
41421.062,1506.18,1491.18,15
41421.083,1518.83,1500,18.83
41421.104,1530.42,1500,30.42
41421.125,1541.84,1500,41.84
41421.146,1554.56,1500,54.56
41421.167,1568.75,1500,68.75
41421.187,1583.03,1500,83.03
41421.208,1596.93,1500,96.93
41421.229,1610.68,1500,110.68
41421.25,1596.4,1500,96.4
41421.271,1565.01,1500,65.01
41421.292,1545.72,1500,45.72
41421.312,1528.31,1500,28.31
41421.333,1511.89,1496.89,15
41421.354,1495.76,1480.76,15
41421.375,1486.54,1471.54,15
41421.396,1490.15,1475.15,15
41421.417,1505.68,1490.68,15
41421.437,1528,1500,28
41421.458,1550.49,1500,50.49
41421.479,1572.01,1500,72.01
41421.5,1586.89,1500,86.89
41421.521,1592.79,1500,92.79
41421.542,1592.85,1500,92.85
41421.562,1589.77,1500,89.77
41421.583,1587.04,1500,87.04
41421.604,1584.64,1500,84.64
41421.625,1606.63,1500,106.63
41421.646,1638.92,1500,138.92
41421.667,1652.05,1500,152.05
41421.687,1659.06,1500,159.06
41421.708,1665.15,1500,165.15
41421.729,1671.44,1500,171.44
41421.75,1659.42,1500,159.42
41421.771,1630.94,1500,130.94
41421.792,1602.02,1500,102.02
41421.812,1570.91,1500,70.91
41421.833,1540.46,1500,40.46
41421.854,1510.66,1495.66,15
41421.875,1485.01,1470.01,15
41421.896,1473.14,1458.14,15
41421.917,1479.33,1464.33,15
41421.937,1495.11,1480.11,15
41421.958,1511.73,1496.73,15
41421.979,1527.37,1500,27.37
41422,1533.06,1500,33.06
41422.021,1529.67,1500,29.67
41422.042,1524.54,1500,24.54
41422.062,1517.14,1500,17.14
41422.083,1509.9,1494.9,15
41422.104,1503.03,1488.03,15
41422.125,1520.02,1500,20.02
41422.146,1544.38,1500,44.38
41422.167,1545.54,1500,45.54
41422.187,1538.34,1500,38.34
41422.208,1529.93,1500,29.93
41422.229,1522.12,1500,22.12
41422.25,1489.62,1474.62,15
41422.271,1450.29,1435.29,15
41422.292,1436.67,1421.67,15
41422.312,1432.67,1417.67,15
41422.333,1430.78,1415.78,15
41422.354,1428.82,1413.82,15
41422.375,1437.79,1422.79,15
41422.396,1455.98,1440.98,15
41422.417,1473.78,1458.78,15
41422.437,1493.1,1478.1,15
41422.458,1512.19,1497.19,15
41422.479,1530.77,1500,30.77
41422.5,1552.79,1500,52.79
41422.521,1567.6,1500,67.6
41422.542,1564.38,1500,64.38
41422.562,1552.83,1500,52.83
41422.583,1540.66,1500,40.66
41422.604,1529.43,1500,29.43
41422.625,1514.97,1499.97,15
41422.646,1506.81,1491.81,15
41422.667,1515.01,1500,15.01
41422.687,1530.87,1500,30.87
41422.708,1547.67,1500,47.67
41422.729,1563.84,1500,63.84
41422.75,1565.38,1500,65.38
41422.771,1557.84,1500,57.84
41422.792,1556.16,1500,56.16
41422.812,1555.64,1500,55.64
41422.833,1555.95,1500,55.95
41422.854,1556.81,1500,56.81
41422.875,1561.52,1500,61.52
41422.896,1567.76,1500,67.76
41422.917,1571.09,1500,71.09
41422.937,1573.03,1500,73.03
41422.958,1574.17,1500,74.17
41422.979,1574.79,1500,74.79
41423,1577.5,1500,77.5
41423.021,1583.7,1500,83.7
41423.042,1592.18,1500,92.18
41423.062,1602.77,1500,102.77
41423.083,1614.27,1500,114.27
41423.104,1625.04,1500,125.04
41423.125,1632.21,1500,132.21
41423.146,1637.13,1500,137.13
41423.167,1641.76,1500,141.76
41423.187,1645.94,1500,145.94
41423.208,1649.61,1500,149.61
41423.229,1652.42,1500,152.42
41423.25,1652.86,1500,152.86
41423.271,1643.76,1500,143.76
41423.292,1629.75,1500,129.75
41423.312,1612.91,1500,112.91
41423.333,1589.91,1500,89.91
41423.354,1566.72,1500,66.72
41423.375,1563.16,1500,63.16
41423.396,1577.23,1500,77.23
41423.417,1589.95,1500,89.95
41423.437,1600.2,1500,100.2
41423.458,1607.67,1500,107.67
41423.479,1613.4,1500,113.4
41423.5,1618.2,1500,118.2
41423.521,1624.47,1500,124.47
41423.542,1631.46,1500,131.46
41423.562,1638.38,1500,138.38
41423.583,1646.28,1500,146.28
41423.604,1653.18,1500,153.18
41423.625,1651.39,1500,151.39
41423.646,1649.54,1500,149.54
41423.667,1652.81,1500,152.81
41423.687,1655.69,1500,155.69
41423.708,1663.8,1500,163.8
41423.729,1676.65,1500,176.65
41423.75,1714.44,1500,214.44
41423.771,1756.2,1500,256.2
41423.792,1769.66,1500,269.66
41423.812,1772.57,1500,272.57
41423.833,1766.93,1500,266.93
41423.854,1748.73,1500,248.73
41423.875,1709.02,1500,209.02
41423.896,1688.31,1500,188.31
41423.917,1703.25,1500,203.25
41423.937,1707.84,1500,207.84
41423.958,1706.25,1500,206.25
41423.979,1715.46,1500,215.46
41424,1751.12,1500,251.12
41424.021,1795.64,1500,295.64
41424.042,1822.48,1500,322.48
