"  XL[KM]" "H[M+NN]"   "A[M2]"  "TWI[M]"  "DTW/DH"  "WPE[M]"  "RHY[M]"  "KNOTEN"
     2.369   126.223   465.664    53.526     0.196    70.463     6.609      1223
     2.369   126.573   484.433    53.603     0.219    71.169     6.807      1223
     2.369   126.924   503.232    53.696     0.267    71.877     7.001      1223
     2.369   127.274   522.064    53.790     0.267    72.584     7.193      1223
     2.369   127.624   540.930    53.883     0.267    73.292     7.380      1223
     2.369   127.975   559.827    53.977     0.267    74.000     7.565      1223
     2.369   128.325   578.758    54.070     0.267    74.708     7.747      1223
     2.369   128.676   597.721    54.164     0.267    75.416     7.926      1223
     2.369   129.026   616.717    54.257     0.267    76.124     8.102      1223
     2.369   129.377   635.746    54.351     0.267    76.831     8.275      1223
     2.369   129.727   654.808    54.444     0.267    77.539     8.445      1223
     2.369   130.077   673.902    54.538     0.267    78.247     8.612      1223
     2.369   130.428   693.029    54.631     0.267    78.955     8.778      1223
     2.369   130.778   712.189    54.725     0.267    79.663     8.940      1223
     2.369   131.129   731.542    57.311     7.380    82.748     8.841      1223
     2.369   131.479   753.514    67.282    28.457    87.859     8.576      1223
     2.369   131.829   780.122    91.873    70.175    95.258     8.190      1223
     2.369   132.180   835.850   113.192    60.838   113.192     7.384      1223
     2.369   132.530   899.739   136.077  -131.449   136.077     6.612      1223
     2.369   132.881   963.757   161.590   -59.701   161.590     5.964      1223
"  XL[KM]" "H[M+NN]"   "A[M2]"  "TWI[M]"  "DTW/DH"  "WPE[M]"  "RHY[M]"  "KNOTEN"
     2.300   118.000     7.299    56.535     0.000    56.538     0.129      1222
     2.300   118.280    33.143   118.445     4.411   118.461     0.280      1222
     2.300   118.560    68.065   126.665    29.356   126.738     0.537      1222
     2.300   118.840   103.873   129.013     8.385   129.157     0.804      1222
     2.300   119.120   140.209   130.446     5.119   130.712     1.073      1222
     2.300   119.400   176.915   131.733     4.596   132.129     1.339      1222
     2.300   119.680   214.015   133.249     5.413   133.770     1.600      1222
     2.300   119.960   251.535   134.713     5.229   135.364     1.858      1222
     2.300   120.240   289.442   136.036     4.726   136.823     2.115      1222
     2.300   120.520   327.721   137.380     4.797   138.293     2.370      1222
     2.300   120.800   366.369   138.666     4.593   139.706     2.622      1222
     2.300   121.080   405.341   139.653     3.527   140.848     2.878      1222
     2.300   121.360   444.572   140.525     3.115   141.893     3.133      1222
     2.300   121.640   484.024   141.263     2.633   142.820     3.389      1222
     2.300   121.920   523.680   141.962     2.498   143.721     3.644      1222
     2.300   122.200   563.518   142.581     2.211   144.563     3.898      1222
     2.300   122.480   603.528   143.195     2.189   145.400     4.151      1222
     2.300   122.760   643.710   143.812     2.204   146.240     4.402      1222
     2.300   123.040   684.068   144.447     2.270   147.095     4.651      1222
     2.300   123.320   724.605   145.090     2.297   147.955     4.897      1222
     2.300   123.600   765.318   145.700     2.177   148.788     5.144      1222
     2.300   123.880   806.200   146.296     2.130   149.611     5.389      1222
     2.300   124.160   847.248   146.893     2.130   150.433     5.632      1222
     2.300   124.440   888.500   147.790     3.204   151.496     5.865      1222
     2.300   124.720   930.014   148.737     3.382   152.598     6.095      1222
     2.300   125.000   971.822   149.898     4.147   153.893     6.315      1222
     2.300   125.280  1013.965   151.119     4.362   155.241     6.532      1222
     2.300   125.560  1056.452   152.344     4.375   156.592     6.747      1222
     2.300   125.840  1099.281   153.564     4.356   157.938     6.960      1222
     2.300   126.120  1142.447   154.749     4.233   159.253     7.174      1222
     2.300   126.400  1185.945   155.941     4.256   160.573     7.386      1222
     2.300   126.680  1229.778   157.142     4.288   161.902     7.596      1222
     2.300   126.960  1273.947   158.343     4.288   163.230     7.805      1222
     2.300   127.240  1318.454   159.577     4.408   164.590     8.011      1222
     2.300   127.520  1363.344   161.262     6.019   166.377     8.194      1222
     2.300   127.800  1408.825   163.527     8.088   168.721     8.350      1222
     2.300   128.080  1454.827   165.038     5.397   170.336     8.541      1222
     2.300   128.360  1501.241   166.370     4.754   171.786     8.739      1222
     2.300   128.640  1547.965   167.361     3.540   172.925     8.952      1222
     2.300   128.920  1594.967   168.350     3.532   174.061     9.163      1222
     2.300   129.200  1642.244   169.333     3.510   175.192     9.374      1222
     2.300   129.480  1689.797   170.309     3.488   176.318     9.584      1222
     2.300   129.760  1737.620   171.275     3.449   177.435     9.793      1222
     2.300   130.040  1785.715   172.246     3.465   178.555    10.001      1222
     2.300   130.320  1834.082   173.220     3.481   179.679    10.208      1222
     2.300   130.600  1882.722   174.199     3.497   180.807    10.413      1222
     2.300   130.881  1931.642   175.216     3.632   181.968    10.615      1222
     2.300   131.161  1981.150   180.262    18.018   187.121    10.588      1222
     2.300   131.441  2032.819   188.790    30.457   195.724    10.386      1222
     2.300   131.721  2086.552   192.960    14.892   200.139    10.425      1222
"  XL[KM]" "H[M+NN]"   "A[M2]"  "TWI[M]"  "DTW/DH"  "WPE[M]"  "RHY[M]"  "KNOTEN"
     2.200   111.188     7.137    34.475     0.000    34.488     0.207      1221
     2.200   111.605    27.814    57.863     6.716    57.901     0.480      1221
     2.200   112.023    53.672    65.396    18.040    65.489     0.820      1221
     2.200   112.440    82.192    71.001    13.422    71.166     1.155      1221
     2.200   112.858   112.889    75.998    11.966    76.246     1.481      1221
     2.200   113.276   145.561    80.437    10.630    80.780     1.802      1221
     2.200   113.693   179.945    84.206     9.023    84.652     2.126      1221
     2.200   114.111   215.776    87.332     7.486    87.896     2.455      1221
     2.200   114.528   252.836    90.107     6.647    90.798     2.785      1221
     2.200   114.946   291.018    92.695     6.196    93.519     3.112      1221
     2.200   115.364   330.257    95.223     6.052    96.181     3.434      1221
     2.200   115.781   370.537    97.693     5.916    98.789     3.751      1221
     2.200   116.199   411.856   100.197     5.995   101.429     4.061      1221
     2.200   116.617   454.227   102.736     6.081   104.102     4.363      1221
     2.200   117.034   497.692   105.432     6.456   106.925     4.655      1221
     2.200   117.452   542.331   108.531     7.420   110.140     4.924      1221
     2.200   117.869   588.366   111.998     8.302   113.715     5.174      1221
     2.200   118.287   635.957   115.872     9.277   117.694     5.403      1221
     2.200   118.705   685.016   119.023     7.545   120.963     5.663      1221
     2.200   119.122   735.854   131.287    29.367   133.375     5.517      1221
     2.200   119.540   798.326   158.473    65.099   158.473     5.038      1221
     2.200   119.957   876.852   192.086    56.222   192.086     4.565      1221
     2.200   120.375   973.370   233.266    57.018   233.266     4.173      1221
     2.200   120.793  1077.488   251.837    12.037   254.908     4.227      1221
     2.200   121.210  1183.653   256.534    11.248   259.905     4.554      1221
     2.200   121.628  1291.738   261.090    10.908   264.767     4.879      1221
     2.200   122.045  1401.713   265.600    10.800   269.587     5.199      1221
     2.200   122.463  1513.598   270.261    11.162   274.551     5.513      1221
     2.200   122.881  1627.439   274.937    11.196   279.529     5.822      1221
     2.200   123.298  1743.231   279.612    11.196   284.505     6.127      1221
     2.200   123.716  1860.966   284.232    11.063   289.428     6.430      1221
     2.200   124.133  1980.642   288.979    11.367   294.471     6.726      1221
     2.200   124.551  2102.362   294.100    12.262   299.873     7.011      1221
     2.200   124.969  2226.394   299.924    13.946   305.961     7.277      1221
     2.200   125.386  2352.674   304.487    10.927   310.842     7.569      1221
     2.200   125.804  2480.627   308.248     9.006   314.964     7.876      1221
     2.200   126.221  2610.038   311.523     7.841   318.652     8.191      1221
     2.200   126.639  2740.815   314.791     7.825   322.335     8.503      1221
