"TXLS","QGAM","QKRA","QWEH","QMIN","D-E"
41412.75,1592.83,1500,92.83,15,77.83
41412.771,1588.45,1500,88.45,15,73.45
41412.792,1586.16,1500,86.16,15,71.16
41412.812,1582.47,1500,82.47,15,67.47
41412.833,1579.37,1500,79.37,15,64.37
41412.854,1576.9,1500,76.9,15,61.9
41412.875,1572.82,1500,72.82,15,57.82
41412.896,1568.36,1500,68.36,15,53.36
41412.917,1565.01,1500,65.01,15,50.01
41412.937,1560.81,1500,60.81,15,45.81
41412.958,1557.06,1500,57.06,15,42.06
41412.979,1554.4,1500,54.4,15,39.4
41413,1556,1500,56,15,41
41413.021,1556.07,1500,56.07,15,41.07
41413.042,1545.57,1500,45.57,15,30.57
41413.062,1530.6,1500,30.6,15,15.6
41413.083,1516.89,1500,16.89,15,1.8900000000001
41413.104,1504.16,1489.16,15,15,-10.84
41413.125,1488,1473,15,15,-27
41413.146,1474.23,1459.23,15,15,-40.77
41413.167,1468.84,1453.84,15,15,-46.16
41413.187,1465.98,1450.98,15,15,-49.02
41413.208,1462.63,1447.63,15,15,-52.37
41413.229,1458.7,1443.7,15,15,-56.3
41413.25,1447.29,1432.29,15,15,-67.71
41413.271,1432.81,1417.81,15,15,-82.19
41413.292,1423.61,1408.61,15,15,-91.39
41413.312,1416.11,1401.11,15,15,-98.89
41413.333,1408.9,1393.9,15,15,-106.1
41413.354,1401.57,1386.57,15,15,-113.43
41413.375,1416.11,1401.11,15,15,-98.89
41413.396,1445.27,1430.27,15,15,-69.73
41413.417,1465.35,1450.35,15,15,-49.65
41413.437,1481.38,1466.38,15,15,-33.62
41413.458,1494.41,1479.41,15,15,-20.59
41413.479,1505.33,1490.33,15,15,-9.6700000000001
41413.5,1503.27,1488.27,15,15,-11.73
41413.521,1496.96,1481.96,15,15,-18.04
41413.542,1501.41,1486.41,15,15,-13.59
41413.562,1509.2,1494.2,15,15,-5.8
41413.583,1516.92,1500,16.92,15,1.9200000000001
41413.604,1523.99,1500,23.99,15,8.99
41413.625,1535.84,1500,35.84,15,20.84
41413.646,1547.86,1500,47.86,15,32.86
41413.667,1552.02,1500,52.02,15,37.02
41413.687,1553.54,1500,53.54,15,38.54
41413.708,1554.79,1500,54.79,15,39.79
41413.729,1555.91,1500,55.91,15,40.91
41413.75,1550.8,1500,50.8,15,35.8
41413.771,1540.46,1500,40.46,15,25.46
41413.792,1530.21,1500,30.21,15,15.21
41413.812,1518.33,1500,18.33,15,3.3299999999999
41413.833,1506.54,1491.54,15,15,-8.46
41413.854,1495.74,1480.74,15,15,-19.26
41413.875,1491.3,1476.3,15,15,-23.7
41413.896,1489.65,1474.65,15,15,-25.35
41413.917,1484.02,1469.02,15,15,-30.98
41413.937,1477.13,1462.13,15,15,-37.87
41413.958,1470.26,1455.26,15,15,-44.74
41413.979,1463.18,1448.18,15,15,-51.82
41414,1452.83,1437.83,15,15,-62.17
41414.021,1444.98,1429.98,15,15,-70.02
41414.042,1444.77,1429.77,15,15,-70.23
41414.062,1446.99,1431.99,15,15,-68.01
41414.083,1449.01,1434.01,15,15,-65.99
41414.104,1450.54,1435.54,15,15,-64.46
41414.125,1455.71,1440.71,15,15,-59.29
41414.146,1462.76,1447.76,15,15,-52.24
41414.167,1467.36,1452.36,15,15,-47.64
41414.187,1471.3,1456.3,15,15,-43.7
41414.208,1475.26,1460.26,15,15,-39.74
41414.229,1479.29,1464.29,15,15,-35.71
41414.25,1479.82,1464.82,15,15,-35.18
41414.271,1481.17,1466.17,15,15,-33.83
41414.292,1489.25,1474.25,15,15,-25.75
41414.312,1499.87,1484.87,15,15,-15.13
41414.333,1510.2,1495.2,15,15,-4.8
41414.354,1519.91,1500,19.91,15,4.9100000000001
41414.375,1536.24,1500,36.24,15,21.24
41414.396,1552.74,1500,52.74,15,37.74
41414.417,1558.9,1500,58.9,15,43.9
41414.437,1559.74,1500,59.74,15,44.74
41414.458,1560.89,1500,60.89,15,45.89
41414.479,1562.4,1500,62.4,15,47.4
41414.5,1559.91,1500,59.91,15,44.91
41414.521,1558.87,1500,58.87,15,43.87
41414.542,1561.02,1500,61.02,15,46.02
41414.562,1562.45,1500,62.45,15,47.45
41414.583,1564.19,1500,64.19,15,49.19
41414.604,1566.35,1500,66.35,15,51.35
41414.625,1570.8,1500,70.8,15,55.8
41414.646,1569.75,1500,69.75,15,54.75
41414.667,1557.89,1500,57.89,15,42.89
41414.687,1543.32,1500,43.32,15,28.32
41414.708,1529.14,1500,29.14,15,14.14
41414.729,1515.98,1500,15.98,15,0.98000000000002
41414.75,1502.48,1487.48,15,15,-12.52
41414.771,1494.07,1479.07,15,15,-20.93
41414.792,1494.13,1479.13,15,15,-20.87
41414.812,1495.97,1480.97,15,15,-19.03
41414.833,1497.37,1482.37,15,15,-17.63
41414.854,1498.63,1483.63,15,15,-16.37
41414.875,1500.02,1485.02,15,15,-14.98
41414.896,1501.53,1486.53,15,15,-13.47
41414.917,1503.09,1488.09,15,15,-11.91
41414.937,1504.6,1489.6,15,15,-10.4
41414.958,1505.99,1490.99,15,15,-9.01
41414.979,1507.32,1492.32,15,15,-7.6800000000001
41415,1507.73,1492.73,15,15,-7.27
41415.021,1503.34,1488.34,15,15,-11.66
41415.042,1492.42,1477.42,15,15,-22.58
