"IAB","ITYPE","WIDTH","HEIT","ZTR","ZTL","XL","ZO","RNI","DZERO","HZERO","QZERO","ZS","CKS","HR0","HR1","RNV1","HR2","RNV2","HR3","RNV3","HR4","RNV4","HR5","RNV5","HR6","RNV6","HR7","RNV7","SF","X","Y","ID","ZSHIFT"                                                                                     
1157,4,0.00,10.94,0.00,0.00,27796.0,118.13,0.0313,6.828,124.958,1718.160,10.87,0.000,0.000,412.441,0.0270,414.902,0.0260,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.00016633,3422422.45,5397110.53,96187,0.00
1156,4,0.00,11.08,0.00,0.00,27696.0,118.08,0.0313,6.845,124.925,1718.160,10.97,0.000,0.000,412.333,0.0270,414.794,0.0260,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.00021289,3422487.13,5397186.80,96187,0.00
1155,4,0.00,11.07,0.00,0.00,27595.0,118.00,0.0298,6.911,124.911,1718.160,10.95,0.000,0.000,412.287,0.0270,414.748,0.0260,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.00016560,3422552.45,5397263.83,96187,0.00
1154,4,0.00,10.91,0.00,0.00,27495.0,118.19,0.0297,6.704,124.894,1718.160,10.73,0.000,0.000,412.231,0.0270,414.692,0.0260,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.00016938,3422617.11,5397340.11,96187,0.00
1153,4,0.00,10.66,0.00,0.00,27394.0,118.43,0.0284,6.445,124.875,1718.160,10.50,0.000,0.000,412.169,0.0270,414.630,0.0260,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.00015270,3422682.43,5397417.15,96187,0.00
1152,4,0.00,10.49,0.00,0.00,27294.0,118.52,0.0289,6.340,124.860,1718.160,10.39,0.000,0.000,412.120,0.0270,414.581,0.0260,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.00016262,3422747.09,5397493.43,96187,0.00
1151,4,0.00,10.86,0.00,0.00,27194.0,118.08,0.0289,6.768,124.848,1718.160,10.82,0.000,0.000,412.080,0.0270,414.541,0.0260,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.00015261,3422811.76,5397569.70,96187,0.00
1150,4,0.00,10.61,0.00,0.00,27093.0,118.51,0.0289,6.316,124.826,1718.160,10.36,0.000,0.000,412.008,0.0270,414.469,0.0260,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.00017260,3422877.08,5397646.74,96187,0.00
1149,4,0.00,10.56,0.00,0.00,26993.0,118.43,0.0276,6.384,124.814,1718.160,10.47,0.000,0.000,411.969,0.0270,414.430,0.0260,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.00013265,3422941.75,5397723.02,96187,0.00
1148,4,0.00,10.49,0.00,0.00,26893.0,118.46,0.0280,6.336,124.796,1718.160,10.42,0.000,0.000,411.910,0.0270,414.371,0.0260,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.00014710,3423006.41,5397799.29,96187,0.00
1147,4,0.00,10.39,0.00,0.00,26791.0,118.61,0.0285,6.176,124.786,1718.160,10.21,0.000,0.000,411.877,0.0270,414.338,0.0260,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.00014100,3423072.38,5397877.10,96187,0.00
1146,4,0.00,10.20,0.00,0.00,26693.0,118.70,0.0294,6.070,124.770,1718.160,10.10,0.000,0.000,411.825,0.0270,414.285,0.0260,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.00016803,3423135.76,5397951.84,96187,0.00
1145,4,0.00,9.92,0.00,0.00,26594.0,118.82,0.0302,5.934,124.754,1718.160,6.58,0.000,0.000,411.772,0.0270,414.233,0.0260,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.00019435,3423199.79,5398027.34,96187,0.00
1144,4,0.00,9.78,0.00,0.00,26488.0,119.12,0.0294,5.615,124.735,1718.160,9.57,0.000,0.000,411.710,0.0270,414.170,0.0260,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.00018711,3423267.81,5398108.64,96187,0.00
1143,4,0.00,9.95,0.00,0.00,26393.0,118.85,0.0287,5.862,124.712,1718.160,9.76,0.000,0.000,411.634,0.0270,414.095,0.0260,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.00017739,3423328.65,5398181.60,96187,0.00
1142,4,0.00,10.47,0.00,0.00,26293.0,118.21,0.0282,6.488,124.698,1718.160,10.39,0.000,0.000,411.588,0.0270,414.049,0.0260,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.00015849,3423392.69,5398258.40,96187,0.00
1141,4,0.00,10.50,0.00,0.00,26193.0,118.08,0.0285,6.603,124.683,1718.160,10.41,0.000,0.000,411.539,0.0270,414.000,0.0260,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.00016044,3423456.73,5398335.21,96187,0.00
1140,4,0.00,10.18,0.00,0.00,26096.0,118.36,0.0286,6.305,124.665,1718.160,10.09,0.000,0.000,411.480,0.0270,413.941,0.0260,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.00016887,3423518.98,5398409.60,96187,0.00
1139,4,0.00,10.10,0.00,0.00,26000.0,118.46,0.0290,6.191,124.651,1718.160,10.00,0.000,0.000,411.434,0.0270,413.895,0.0260,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.00017233,3423581.09,5398482.80,96187,0.00
1138,4,0.00,9.82,0.00,0.00,25903.0,118.65,0.0296,5.984,124.634,1718.160,9.73,0.000,0.000,411.378,0.0270,413.839,0.0260,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.00018971,3423643.87,5398556.74,96187,0.00
1137,4,0.00,9.63,0.00,0.00,25806.0,118.78,0.0298,5.835,124.615,1718.160,9.60,0.000,0.000,411.316,0.0270,413.777,0.0260,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.00020690,3423706.65,5398630.68,96187,0.00
1136,4,0.00,9.86,0.00,0.00,25710.0,118.61,0.0299,5.986,124.596,1718.160,9.75,0.000,0.000,411.254,0.0270,413.714,0.0260,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.00021683,3423768.34,5398704.24,96187,0.00
1135,4,0.00,9.42,0.00,0.00,25613.0,118.98,0.0272,5.594,124.574,1718.160,9.36,0.000,0.000,411.181,0.0270,413.642,0.0260,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.00015751,3423827.99,5398780.70,96187,0.00
1134,4,0.00,9.68,0.00,0.00,25520.0,118.65,0.0260,5.903,124.553,1718.160,6.96,0.000,0.000,411.113,0.0270,413.573,0.0260,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.00013859,3423879.54,5398858.05,96187,0.00
