"ZEIT[H]" "K1101" "K1077" "K1013" "K 936" "K 971" "K1107" "K5117" "K1134" "K1146" "K1153" "K1157" "K1166" "K1190"
 41409.146 1667.03 1669.60 1673.84  883.13 1675.22 1666.27 1664.90 1662.60 1660.81 1659.68 1658.99 1657.17  148.43
 41409.167 1657.86 1659.29 1661.61  870.11 1662.37 1657.44 1656.69 1655.47 1654.57 1654.02 1653.69 1652.85  149.03
 41409.187 1653.08 1653.61 1654.21  861.92 1654.36 1652.90 1652.58 1652.02 1651.58 1651.30 1651.13 1650.68  148.59
 41409.208 1650.26 1650.55 1650.80  858.37 1650.84 1650.16 1649.96 1649.59 1649.29 1649.09 1648.97 1648.64  147.00
 41409.229 1647.80 1648.22 1648.77  856.48 1648.93 1647.67 1647.41 1646.93 1646.53 1646.26 1646.10 1645.64  143.36
 41409.250 1643.85 1644.77 1646.09  854.09 1646.47 1643.55 1643.00 1641.98 1641.13 1640.56 1640.20 1639.22  134.24
 41409.271 1636.88 1638.49 1640.93  849.38 1641.67 1636.38 1635.46 1633.82 1632.46 1631.58 1631.02 1629.52  122.04
 41409.292 1627.42 1629.47 1632.66  841.43 1633.64 1626.79 1625.64 1623.63 1622.01 1620.96 1620.31 1618.57  110.01
 41409.312 1616.69 1618.89 1622.24  831.07 1623.27 1616.01 1614.77 1612.62 1610.88 1609.77 1609.07 1607.23   98.23
 41409.333 1605.45 1607.66 1610.94  819.73 1611.94 1604.77 1603.51 1601.33 1599.58 1598.46 1597.76 1595.90   86.88
 41409.354 1595.51 1597.26 1599.90  808.49 1600.73 1594.99 1594.03 1592.43 1591.18 1590.40 1589.93 1588.69   82.84
 41409.375 1590.75 1591.14 1591.80  799.62 1592.03 1590.64 1590.48 1590.32 1590.28 1590.30 1590.32 1590.45   91.41
 41409.396 1592.89 1591.84 1590.10  796.92 1589.56 1593.20 1593.80 1594.87 1595.77 1596.38 1596.76 1597.80  103.11
 41409.417 1598.81 1597.28 1594.70  801.14 1593.87 1599.26 1600.08 1601.45 1602.52 1603.21 1603.63 1604.75  110.15
 41409.437 1604.61 1603.46 1601.62  808.36 1601.03 1604.95 1605.55 1606.56 1607.32 1607.79 1608.08 1608.83  112.33
 41409.458 1608.08 1607.65 1607.03  814.28 1606.84 1608.21 1608.44 1608.79 1609.04 1609.18 1609.26 1609.46  110.26
 41409.479 1608.05 1608.43 1609.05  816.79 1609.25 1607.93 1607.71 1607.27 1606.88 1606.61 1606.44 1605.95  103.42
 41409.500 1604.01 1605.19 1607.02  815.22 1607.58 1603.64 1602.96 1601.75 1600.74 1600.07 1599.65 1598.51   92.84
 41409.521 1597.05 1598.66 1601.18  809.69 1601.97 1596.56 1595.67 1594.12 1592.88 1592.09 1591.59 1590.27   83.87
 41409.542 1589.28 1590.88 1593.31  801.77 1594.06 1588.80 1587.91 1586.38 1585.16 1584.38 1583.90 1582.62   76.48
